Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.461538 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.538462 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.538462 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.000000 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.538462 | 
Conservador Prob.: 0.384615 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.384615 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.461538 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.461538 | Progressista Prob.: 0.384615 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.923077 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.000000 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.923077 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.384615 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.923077 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.307692 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.923077 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.923077 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.000000 | Progressista Prob.: 0.923077 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.461538 | Progressista Prob.: 0.461538 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.307692 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.384615 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.538462 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.538462 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.384615 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.384615 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.538462 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.923077 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.846154 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.461538 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.384615 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.461538 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.769231 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.230769 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.615385 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.153846 | Neutro Prob.: 0.153846 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.307692 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.230769 | Neutro Prob.: 0.076923 | Progressista Prob.: 0.692308 | 
Conservador Prob.: 0.076923 | Neutro Prob.: 0.384615 | Progressista Prob.: 0.538462 | 
