Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.800000 | Progressista Prob.: 0.200000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.600000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.600000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.000000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.600000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.400000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.600000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.600000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.600000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.000000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.000000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.400000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.400000 | Progressista Prob.: 0.400000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.000000 | Progressista Prob.: 1.000000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
Conservador Prob.: 0.200000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.400000 | Neutro Prob.: 0.000000 | Progressista Prob.: 0.600000 | 
Conservador Prob.: 0.000000 | Neutro Prob.: 0.200000 | Progressista Prob.: 0.800000 | 
